quarter,cash,accounts_receivable,inventory,ppe_net,total_assets,accounts_payable,short_term_debt,long_term_debt,total_liabilities,common_stock,retained_earnings,total_equity,total_liabilities_and_equity
2021-Q1,11184850.0,7280000.0,9962817.0,14208000.0,42635667.0,6849437.0,3200000,18000000,28049437.0,4561578.6000000015,10024651.0,14586230.0,42635667.0
2021-Q2,15256100.0,7425600.0,10651038.0,14420160.0,47752898.0,7322589.0,3200000,17880000,28402589.0,4561578.6000000015,14788730.0,19350309.0,47752898.0
2021-Q3,20400957.0,7571200.0,10670628.0,14636480.0,53279265.0,7336057.0,3200000,17760000,28296057.0,4561578.6000000015,20421629.0,24983208.0,53279265.0
2021-Q4,25504298.0,8008000.0,11164212.0,14865280.0,59541790.0,7675396.0,3200000,17640000,28515396.0,4561578.6000000015,26464815.0,31026394.0,59541790.0
2022-Q1,32399174.0,7644000.0,10270058.0,15083680.0,65396912.0,7060665.0,3200000,17520000,27780665.0,4561578.6000000015,33054668.0,37616247.0,65396912.0
2022-Q2,38866271.0,7134400.0,9585368.0,15287520.0,70873559.0,6589940.0,3200000,17400000,27189940.0,4561578.6000000015,39122040.0,43683619.0,70873559.0
2022-Q3,44959022.0,7498400.0,9990511.0,15501760.0,77949693.0,6868477.0,3200000,17280000,27348477.0,4561578.6000000015,46039637.0,50601216.0,77949693.0
2022-Q4,48642102.0,8153600.0,11616482.0,15734720.0,84146904.0,7986331.0,3200000,17160000,28346331.0,4561578.6000000015,51238994.0,55800573.0,84146904.0
2023-Q1,54564062.0,7862400.0,10963434.0,15959360.0,89349256.0,7537361.0,3200000,17040000,27777361.0,4561578.6000000015,57010316.0,61571895.0,89349256.0
2023-Q2,60026921.0,8080800.0,11366751.0,16190240.0,95664712.0,7814641.0,3200000,16920000,27934641.0,4561578.6000000015,63168492.0,67730071.0,95664712.0
2023-Q3,67125186.0,8299200.0,11021892.0,16427360.0,102873638.0,7577551.0,3200000,16800000,27577551.0,4561578.6000000015,70734508.0,75296087.0,102873638.0
2023-Q4,71395562.0,8881600.0,12758961.0,16681120.0,109717243.0,8771786.0,3200000,16680000,28651786.0,4561578.6000000015,76503878.0,81065457.0,109717243.0
2024-Q1,76406283.0,9318400.0,13240054.0,16947360.0,115912097.0,9102537.0,3200000,16560000,28862537.0,4561578.6000000015,82487981.0,87049560.0,115912097.0
2024-Q2,83492599.0,9609600.0,12972783.0,17221920.0,123296902.0,8918789.0,3200000,16440000,28558789.0,4561578.6000000015,90176534.0,94738113.0,123296902.0
2024-Q3,90854129.0,9828000.0,13233346.0,17502720.0,131418195.0,9097925.0,3200000,16320000,28617925.0,4561578.6000000015,98238691.0,102800270.0,131418195.0
2024-Q4,97895528.0,10483200.0,14117461.0,17802240.0,140298429.0,9705755.0,3200000,16200000,29105755.0,4561578.6000000015,106631095.0,111192674.0,140298429.0
2025-Q1,106193362.0,10774400.0,14658408.0,18110080.0,149736250.0,10077655.0,3200000,16080000,29357655.0,4561578.6000000015,115817016.0,120378595.0,149736250.0
2025-Q2,114694136.0,11065600.0,15333452.0,18426240.0,159519428.0,10541748.0,3200000,15960000,29701748.0,4561578.6000000015,125256101.0,129817680.0,159519428.0
2025-Q3,123324054.0,11356800.0,15616502.0,18750720.0,169048076.0,10736345.0,3200000,15840000,29776345.0,4561578.6000000015,134710152.0,139271731.0,169048076.0
2025-Q4,132494822.0,12157600.0,16522149.0,19098080.0,180272651.0,11358978.0,3200000,15720000,30278978.0,4561578.6000000015,145432094.0,149993673.0,180272651.0
