quarter,net_income,depreciation,change_in_ar,change_in_inventory,change_in_ap,cash_from_operations,capital_expenditures,cash_from_investing,dividends_paid,debt_repayment,cash_from_financing,net_change_in_cash,ending_cash_balance
2021-Q1,6344651.0,728000.0,-218400.0,-298885.0,205483.0,6760850.0,-936000.0,-936000.0,-320000,-120000,-440000,5384850.0,11184850.0
2021-Q2,5084079.0,742560.0,-145600.0,-688221.0,473152.0,5465970.0,-954720.0,-954720.0,-320000,-120000,-440000,4071250.0,15256100.0
2021-Q3,5952899.0,757120.0,-145600.0,-19590.0,13468.0,6558297.0,-973440.0,-973440.0,-320000,-120000,-440000,5144857.0,20400957.0
2021-Q4,6363186.0,800800.0,-436800.0,-493584.0,339339.0,6572941.0,-1029600.0,-1029600.0,-320000,-120000,-440000,5103341.0,25504298.0
2022-Q1,6909853.0,764400.0,364000.0,894154.0,-614731.0,8317676.0,-982800.0,-982800.0,-320000,-120000,-440000,6894876.0,32399174.0
2022-Q2,6387372.0,713440.0,509600.0,684690.0,-470725.0,7824377.0,-917280.0,-917280.0,-320000,-120000,-440000,6467097.0,38866271.0
2022-Q3,7237597.0,749840.0,-364000.0,-405143.0,278537.0,7496831.0,-964080.0,-964080.0,-320000,-120000,-440000,6092751.0,44959022.0
2022-Q4,5519357.0,815360.0,-655200.0,-1625971.0,1117854.0,5171400.0,-1048320.0,-1048320.0,-320000,-120000,-440000,3683080.0,48642102.0
2023-Q1,6091322.0,786240.0,291200.0,653048.0,-448970.0,7372840.0,-1010880.0,-1010880.0,-320000,-120000,-440000,5921960.0,54564062.0
2023-Q2,6478176.0,808080.0,-218400.0,-403317.0,277280.0,6941819.0,-1038960.0,-1038960.0,-320000,-120000,-440000,5462859.0,60026921.0
2023-Q3,7886016.0,829920.0,-218400.0,344859.0,-237090.0,8605305.0,-1067040.0,-1067040.0,-320000,-120000,-440000,7098265.0,67125186.0
2023-Q4,6089370.0,888160.0,-582400.0,-1737069.0,1194235.0,5852296.0,-1141920.0,-1141920.0,-320000,-120000,-440000,4270376.0,71395562.0
2024-Q1,6304103.0,931840.0,-436800.0,-481093.0,330751.0,6648801.0,-1198080.0,-1198080.0,-320000,-120000,-440000,5010721.0,76406283.0
2024-Q2,8008553.0,960960.0,-291200.0,267271.0,-183748.0,8761836.0,-1235520.0,-1235520.0,-320000,-120000,-440000,7086316.0,83492599.0
2024-Q3,8382157.0,982800.0,-218400.0,-260563.0,179136.0,9065130.0,-1263600.0,-1263600.0,-320000,-120000,-440000,7361530.0,90854129.0
2024-Q4,8712404.0,1048320.0,-655200.0,-884115.0,607830.0,8829239.0,-1347840.0,-1347840.0,-320000,-120000,-440000,7041399.0,97895528.0
2025-Q1,9505921.0,1077440.0,-291200.0,-540947.0,371900.0,10123114.0,-1385280.0,-1385280.0,-320000,-120000,-440000,8297834.0,106193362.0
2025-Q2,9759085.0,1106560.0,-291200.0,-675044.0,464093.0,10363494.0,-1422720.0,-1422720.0,-320000,-120000,-440000,8500774.0,114694136.0
2025-Q3,9774051.0,1135680.0,-291200.0,-283050.0,194597.0,10530078.0,-1460160.0,-1460160.0,-320000,-120000,-440000,8629918.0,123324054.0
2025-Q4,11041942.0,1215760.0,-800800.0,-905647.0,622633.0,11173888.0,-1563120.0,-1563120.0,-320000,-120000,-440000,9170768.0,132494822.0
