quarter,revenue,cogs,gross_profit,marketing_expense,logistics_expense,it_expense,ga_expense,payroll_expense,total_operating_expense,operating_income,interest_expense,pretax_income,tax_expense,net_income
2021-Q1,52000000.0,31133804.0,20866196.0,1522714.0,3443460.0,652845.0,2528814.0,4436343.0,12584176.0,8282020.0,386105,7895915.0,1551264.0,6344651.0
2021-Q2,53040000.0,33284494.0,19755506.0,1377791.0,3710242.0,641009.0,2452197.0,4845952.0,13027191.0,6728315.0,370230,6358085.0,1274006.0,5084079.0
2021-Q3,54080000.0,33345712.0,20734288.0,1462594.0,3533797.0,774152.0,2342150.0,4766804.0,12879497.0,7854791.0,375707,7479084.0,1526185.0,5952899.0
2021-Q4,57200000.0,34888163.0,22311837.0,1576691.0,4238131.0,710825.0,2324355.0,5152902.0,14002904.0,8308933.0,381976,7926957.0,1563771.0,6363186.0
2022-Q1,54600000.0,32093931.0,22506069.0,1539310.0,3690294.0,661956.0,2353796.0,5136531.0,13381887.0,9124182.0,383776,8740406.0,1830553.0,6909853.0
2022-Q2,50960000.0,29954274.0,21005726.0,1554088.0,3650021.0,671183.0,2204113.0,4458639.0,12538044.0,8467682.0,390080,8077602.0,1690230.0,6387372.0
2022-Q3,53560000.0,31220348.0,22339652.0,1413862.0,3648352.0,619352.0,2533177.0,4772401.0,12987144.0,9352508.0,361306,8991202.0,1753605.0,7237597.0
2022-Q4,58240000.0,36301505.0,21938495.0,1665643.0,4088488.0,827520.0,2700913.0,5390433.0,14672997.0,7265498.0,366776,6898722.0,1379365.0,5519357.0
2023-Q1,56160000.0,34260731.0,21899269.0,1636890.0,3957432.0,634507.0,2744659.0,4902093.0,13875581.0,8023688.0,447251,7576437.0,1485115.0,6091322.0
2023-Q2,57720000.0,35521097.0,22198903.0,1461768.0,3858498.0,862772.0,2581362.0,4950633.0,13715033.0,8483870.0,429474,8054396.0,1576220.0,6478176.0
2023-Q3,59280000.0,34443412.0,24836588.0,1734107.0,4427970.0,835195.0,2442095.0,5210565.0,14649932.0,10186656.0,441959,9744697.0,1858681.0,7886016.0
2023-Q4,63440000.0,39871754.0,23568246.0,1661726.0,4615344.0,748266.0,2990082.0,5494679.0,15510097.0,8058149.0,425530,7632619.0,1543249.0,6089370.0
2024-Q1,66560000.0,41375169.0,25184831.0,1694309.0,4951730.0,733630.0,3168779.0,6276407.0,16824855.0,8359976.0,479320,7880656.0,1576553.0,6304103.0
2024-Q2,68640000.0,40539948.0,28100052.0,2171921.0,5075809.0,978933.0,3130861.0,6389094.0,17746618.0,10353434.0,453748,9899686.0,1891133.0,8008553.0
2024-Q3,70200000.0,41354206.0,28845794.0,2229512.0,4982726.0,970686.0,3349219.0,6411649.0,17943792.0,10902002.0,481968,10420034.0,2037877.0,8382157.0
2024-Q4,74880000.0,44117066.0,30762934.0,2295730.0,5557499.0,1042032.0,3364954.0,7017350.0,19277565.0,11485369.0,482562,11002807.0,2290403.0,8712404.0
2025-Q1,76960000.0,45807524.0,31152476.0,2088102.0,5070504.0,1083988.0,3480695.0,7160106.0,18883395.0,12269081.0,463545,11805536.0,2299615.0,9505921.0
2025-Q2,79040000.0,47917037.0,31122963.0,2030040.0,5292505.0,892850.0,3499528.0,6865865.0,18580788.0,12542175.0,450663,12091512.0,2332427.0,9759085.0
2025-Q3,81120000.0,48801569.0,32318431.0,2416535.0,5309488.0,1008635.0,3265420.0,7619244.0,19619322.0,12699109.0,484766,12214343.0,2440292.0,9774051.0
2025-Q4,86840000.0,51631717.0,35208283.0,2438560.0,5927117.0,995488.0,3567293.0,7849765.0,20778223.0,14430060.0,457994,13972066.0,2930124.0,11041942.0
