Period,Rev,NetInc,OpInc,Notes
Q1 2021,"$52,000,000 ","6,344,651",8282020.0,manual adjustment pending review
Q2 2021,"$53,040,000 ","5,084,079",6728315.0,
Q3 2021,"$54,080,000 ","5,952,899",7854791.0,
Q4 2021,"$57,200,000 ","6,363,186",8308933.0,
Q1 2022,"$54,600,000 ","6,909,853",9124182.0,
Q2 2022,"$50,960,000 ","6,387,372",8467682.0,manual adjustment pending review
Q3 2022,"$53,560,000 ","7,237,597",9352508.0,
Q4 2022,"$58,240,000 ","5,519,357",7265498.0,
2023-01-01,56160000.0,6091322.0,8023688.0, reconciled 
2023-04-01,57720000.0,6478176.0,8483870.0, reconciled 
2023-07-01,59280000.0,7886016.0,10186656.0, reconciled 
2023-10-01,63440000.0,6089370.0,8058149.0, reconciled 
2024-01-01,66560000.0,6304103.0,8359976.0, reconciled 
2024-04-01,68640000.0,8008553.0,10353434.0, reconciled 
2024-07-01,70200000.0,8382157.0,, reconciled 
2024-10-01,74880000.0,98080000,11485369.0, reconciled 
2025-01-01,76960000.0,9505921.0,12269081.0, reconciled 
2025-04-01,79040000.0,9759085.0,12542175.0, reconciled 
2025-07-01,81120000.0,9774051.0,12699109.0, reconciled 
2025-10-01,86840000.0,11041942.0,14430060.0, reconciled 
2023-07-01,59280000.0,7886016.0,10186656.0, reconciled 
